feat_i,feat_j,name_i,name_j,cv_mean_acc,cv_std_acc,fold_accuracies,rank
23,27,worst area,worst concave points,0.9598101265822784,0.012275870791325035,0.950000000000;0.975000000000;0.950000000000;0.974683544304;0.949367088608,1
20,27,worst radius,worst concave points,0.9598101265822784,0.014601267194504277,0.937500000000;0.975000000000;0.962500000000;0.974683544304;0.949367088608,2
20,26,worst radius,worst concavity,0.9547151898734176,0.0103405984491156,0.962500000000;0.962500000000;0.962500000000;0.949367088608;0.936708860759,3
22,29,worst perimeter,worst fractal dimension,0.952246835443038,0.01681461069520423,0.962500000000;0.950000000000;0.950000000000;0.974683544304;0.924050632911,4
0,24,mean radius,worst smoothness,0.9522151898734176,0.014872407722238428,0.962500000000;0.950000000000;0.962500000000;0.962025316456;0.924050632911,5
20,24,worst radius,worst smoothness,0.9498101265822785,0.0157130371135206,0.950000000000;0.925000000000;0.950000000000;0.974683544304;0.949367088608,6
22,24,worst perimeter,worst smoothness,0.9498101265822785,0.02084225360489783,0.962500000000;0.912500000000;0.950000000000;0.974683544304;0.949367088608,7
23,24,worst area,worst smoothness,0.949746835443038,0.01586469134087175,0.962500000000;0.925000000000;0.962500000000;0.962025316456;0.936708860759,8
22,27,worst perimeter,worst concave points,0.9472784810126582,0.016576479805530165,0.950000000000;0.950000000000;0.925000000000;0.974683544304;0.936708860759,9
20,29,worst radius,worst fractal dimension,0.9471835443037975,0.02707969657052209,0.962500000000;0.937500000000;0.962500000000;0.974683544304;0.898734177215,10
23,29,worst area,worst fractal dimension,0.947151898734177,0.018777052801362198,0.962500000000;0.950000000000;0.962500000000;0.949367088608;0.911392405063,11
2,24,mean perimeter,worst smoothness,0.9447151898734176,0.012919611432150844,0.950000000000;0.937500000000;0.950000000000;0.962025316456;0.924050632911,12
7,22,mean concave points,worst perimeter,0.9447151898734176,0.015146496610033726,0.937500000000;0.937500000000;0.962500000000;0.962025316456;0.924050632911,13
23,25,worst area,worst compactness,0.9447151898734176,0.015146496610033726,0.962500000000;0.937500000000;0.937500000000;0.962025316456;0.924050632911,14
22,26,worst perimeter,worst concavity,0.9446835443037974,0.010241926174042,0.937500000000;0.950000000000;0.962500000000;0.936708860759;0.936708860759,15
20,25,worst radius,worst compactness,0.9446835443037976,0.02205144492684416,0.975000000000;0.937500000000;0.937500000000;0.962025316456;0.911392405063,16
3,27,mean area,worst concave points,0.9446518987341772,0.017344659281059105,0.950000000000;0.962500000000;0.950000000000;0.949367088608;0.911392405063,17
0,27,mean radius,worst concave points,0.944620253164557,0.02364900328794808,0.950000000000;0.962500000000;0.962500000000;0.949367088608;0.898734177215,18
