feat_i,feat_j,name_i,name_j,cv_mean_acc,cv_std_acc,fold_accuracies,rank
0,6,alcohol,flavanoids,0.9436666666666665,0.040666666666666657,1.000000000000;0.880000000000;0.960000000000;0.920000000000;0.958333333333,1
6,9,flavanoids,color_intensity,0.9189999999999999,0.02690724809414741,0.920000000000;0.920000000000;0.960000000000;0.920000000000;0.875000000000,2
11,12,od280/od315_of_diluted_wines,proline,0.9036666666666667,0.06947741439569488,0.800000000000;0.960000000000;0.840000000000;0.960000000000;0.958333333333,3
0,11,alcohol,od280/od315_of_diluted_wines,0.9033333333333333,0.04055175020198813,0.920000000000;0.960000000000;0.880000000000;0.840000000000;0.916666666667,4
6,12,flavanoids,proline,0.8876666666666667,0.038580363456614114,0.840000000000;0.880000000000;0.880000000000;0.880000000000;0.958333333333,5
0,10,alcohol,hue,0.8873333333333333,0.09238566507370671,0.880000000000;0.920000000000;1.000000000000;0.720000000000;0.916666666667,6
10,12,hue,proline,0.8796666666666667,0.05609911863043048,0.840000000000;0.920000000000;0.880000000000;0.800000000000;0.958333333333,7
0,5,alcohol,total_phenols,0.8789999999999999,0.025377155080899064,0.880000000000;0.880000000000;0.920000000000;0.840000000000;0.875000000000,8
6,10,flavanoids,hue,0.8789999999999999,0.035832945734337866,0.920000000000;0.840000000000;0.840000000000;0.920000000000;0.875000000000,9
9,12,color_intensity,proline,0.8786666666666667,0.05756542171979439,0.800000000000;0.920000000000;0.960000000000;0.880000000000;0.833333333333,10
5,9,total_phenols,color_intensity,0.8703333333333333,0.0791650877035522,0.920000000000;0.960000000000;0.920000000000;0.760000000000;0.791666666667,11
9,11,color_intensity,od280/od315_of_diluted_wines,0.8626666666666665,0.05491002741859731,0.880000000000;0.960000000000;0.840000000000;0.800000000000;0.833333333333,12
0,9,alcohol,color_intensity,0.8550000000000001,0.04024922359499622,0.840000000000;0.840000000000;0.920000000000;0.800000000000;0.875000000000,13
9,10,color_intensity,hue,0.8466666666666667,0.06422183775355891,0.800000000000;0.920000000000;0.920000000000;0.760000000000;0.833333333333,14
